,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,label
45,2018-02-26,35.07,35.1,34.18,33.11,540655.0,-0.54,-1.55,33.7,33.321999999999996,35.997,390482.15,531778.15,587814.72,0.56,0.03744880046811004
46,2018-02-23,33.9,35.1,34.72,33.33,384538.88,1.02,3.03,33.244,33.603,36.264,363882.01,532976.13,581108.29,0.4,0.015552995391705045
47,2018-02-22,34.0,34.05,33.7,33.33,302373.25,0.53,1.6,32.554,33.869,36.499,431963.21,554201.61,589319.26,0.31,-0.03026706231453994
48,2018-02-14,32.87,33.32,33.17,32.17,270175.5,0.44,1.34,32.364000000000004,34.249,36.802,487649.59,587506.82,602143.01,0.28,-0.015978293638830302
49,2018-02-13,32.28,33.79,32.73,32.28,454668.12,0.83,2.6,32.326,34.688,37.132,624040.42,650304.05,629243.83,0.47,-0.01344332416743064
50,2018-02-12,31.43,32.32,31.9,31.31,407654.31,0.63,2.02,32.944,35.051,37.506,673074.15,695660.68,655433.67,0.42,-0.026018808777429413
51,2018-02-09,31.5,31.96,31.27,30.2,724944.88,-1.48,-4.52,33.961999999999996,35.718,37.765,702070.24,714681.52,672910.26,0.75,-0.020147105852254526
52,2018-02-08,33.0,33.88,32.75,32.49,580805.12,-0.23,-0.7,35.184,36.595,37.979,676440.0,683193.27,663513.68,0.6,0.0451908396946565
53,2018-02-07,36.43,36.58,32.98,32.5,952129.69,-2.84,-7.93,36.134,37.34,38.099000000000004,687364.05,689919.21,654597.61,0.98,0.006973923590054484
54,2018-02-06,35.93,36.1,35.82,34.88,699836.75,-1.17,-3.16,37.05,38.155,38.234,676567.68,648969.21,629675.92,0.72,0.07928531546622009
55,2018-02-05,36.8,38.06,36.99,36.31,552634.75,-0.39,-1.04,37.158,38.671,38.235,718247.2,643851.28,618607.04,0.57,0.03163017031630175
56,2018-02-02,36.5,37.9,37.38,35.8,596793.69,-0.12,-0.32,37.474000000000004,38.925,38.185,727292.8,629240.45,632514.48,0.61,0.010433386837881234
57,2018-02-01,37.5,38.04,37.5,36.9,635425.38,-0.06,-0.16,38.006,39.129,38.054,689946.54,624436.9,644829.9,0.65,0.0031999999999999316
58,2018-01-31,36.61,37.76,37.56,35.62,898147.81,1.2,3.3,38.546,39.355,37.835,692474.38,616779.2,639512.92,0.92,0.0015974440894569294
59,2018-01-30,38.0,38.0,36.36,36.27,908234.38,-2.21,-5.73,39.26,39.576,37.573,621370.74,608183.62,626949.04,0.93,-0.033003300330033083
60,2018-01-29,40.38,40.56,38.57,38.09,597862.75,-1.47,-3.67,40.184,39.96,37.383,569455.36,615206.66,615708.99,0.62,0.05729841845994298
61,2018-01-26,40.0,40.66,40.04,39.12,410062.38,-0.16,-0.4,40.376,39.812,37.008,531188.09,631138.99,605081.23,0.42,0.036713286713286684
62,2018-01-25,41.12,41.12,40.2,38.8,648064.56,-0.93,-2.26,40.251999999999995,39.363,36.541,558927.27,643834.08,602943.91,0.67,0.003980099502487654
